u,v,key,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway_all
61172284,61170997,0,separate,,,,[]
61172284,11178094504,0,,,,,[]
61172284,10172824260,0,separate,,,,[]
61172303,1039714822,0,,,share_busway,separate,[]
61172303,13284933180,0,,,,,[]
61172303,61170998,0,,,share_busway,separate,[]
61172325,945798670,0,,no,,,[]
61172325,61177979,0,,no,,,[]
61172325,61172339,0,,no,,,[]
61172339,61172035,0,,no,,,[]
61172339,61172325,0,,no,,,[]
61172392,61171205,0,separate,,,,[]
61172392,10198062336,0,separate,,,,[]
61172404,1577706190,0,,no,,,[]
61172404,1577706177,0,track,,,,[]
61172404,1955981547,0,,,lane,track,[]
61172408,61172416,0,,no,,,[]
61172408,61172409,0,,no,,,[]
61172408,7165440111,0,,,,,[]
61172409,958887911,0,,no,,,[]
61172409,61172408,0,,no,,,[]
61172409,71914436,0,,,,,[]
61172416,61172077,0,,no,,,[]
61172416,61172408,0,,no,,,[]
61172421,61173055,0,,,lane,shared_lane,[]
61172421,71948702,0,,,lane,shared_lane,[]
61172421,61174274,0,,no,,,[]
61172423,61172224,0,,,no,shared_lane,[]
61172423,71935374,0,,,,,[]
61172424,61172423,0,,,no,shared_lane,[]
61172424,71926909,0,,,,,[]
61172432,5845819547,0,track,,,,[]
61172432,5458849687,0,,,,,[]
61172432,7669948660,0,track,,,,[]
61172442,61173051,0,,no,,,[]
61172442,61179616,0,,no,,,[]
61172442,71954836,0,,,,,[]
61172443,71917375,0,,,,,[]
61172457,61172584,0,,no,,,[]
61172457,11717729449,0,,,,track,[]
61172457,11767650227,0,track,,,,[]
61172458,61172173,0,,no,,,[]
61172458,1047189364,0,,no,,,[]
61172460,11717729449,0,,,lane,track,[]
61172460,71920819,0,,,,,[]
61172460,61175825,0,lane,,lane,track,[]
61172463,71942649,0,,,,,[]
61172463,71926281,0,,,,,[]
61172463,61172464,0,,,,,[]
61172464,71924336,0,,,,,[]
61172464,11767650227,0,,,,,[]
61172464,61172463,0,,,,,[]
61172472,71927957,0,,no,,,[]
61172472,61172482,0,,,,,[]
61172472,61172656,0,share_busway,no,shared_lane,share_busway,[]
61172482,2349497200,0,,,,,[]
61172482,2349497200,1,,,,,[]
61172482,61172472,0,,,,,[]
61172514,61172592,0,,,,,[]
61172514,989199019,0,,,,,[]
61172524,61172718,0,,no,,,[]
61172524,2297666961,0,,,,,[]
61172524,1155703191,0,,,,,[]
61172533,3403188380,0,,,,,[]
61172534,11620217770,0,,,,,[]
61172534,11269182784,0,,,,,[]
61172534,71915849,0,,,,,[]
61172549,11620217770,0,,,,,[]
61172550,945798786,0,,no,,,[]
61172550,61172552,0,,no,,,[]
61172550,5244859283,0,,,,,[]
61172552,71947806,0,,no,,,[]
61172567,61175938,0,track,,,,[]
61172567,5853272293,0,track,,,,[]
61172574,61172598,0,shared_lane,,,,[]
61172574,61172567,0,,,,,[]
61172574,61170355,0,shared_lane,,,,[]
61172584,61172457,0,,no,,,[]
61172592,61172621,0,,,,,[]
61172592,2259526927,0,,,,,[]
61172592,61172847,0,,,,,[]
61172597,61171355,0,,,,,[]
61172597,71947029,0,,,,,[]
61172598,61172574,0,shared_lane,,,,[]
61172598,71928046,0,shared_lane,,,,[]
61172598,5456585055,0,,,,,[]
61172621,61172623,0,,,,,[]
61172623,61172626,0,,,,,[]
61172623,71927201,0,,,,,[]
61172626,71934583,0,,,,,[]
61172626,61174071,0,,,,,[]
61172630,71925899,0,,,,,[]
61172635,61172640,0,,,,,[]
61172635,5456504186,0,,,,,[]
61172635,5456504188,0,,,,,[]
61172640,5645284809,0,,no,,,[]
61172640,61172635,0,,,,,[]
61172640,5456504177,0,,no,,,[]
61172656,71942628,0,,,no,track,[]
61172656,61172472,0,share_busway,no,shared_lane,share_busway,[]
61172687,6755532656,0,,no,,,[]
61172687,61170924,0,lane,,lane,track,[]
61172687,61172709,0,lane,,,,[]
61172709,61177497,0,,,lane,track,[]
61172709,71924237,0,,no,,,[]
61172709,61172687,0,lane,,,,[]
61172718,61172524,0,,no,,,[]
61172718,11761571364,0,,,,,[]
61172718,2297666961,0,,,,,[]
61172720,5456504193,0,,,,,[]
61172720,5456504185,0,,,,,[]
61172720,473483343,0,,,,,[]
61172720,5456504182,0,,,,,[]
61172838,61171385,0,,no,,,[]
61172838,61174549,0,,no,,,[]
61172839,71952098,0,,,,,[]
